Дата окончания;Тип документа;Наименование организации;Имя руководителя;Адрес организации;Номер телефона;Почта
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ТРЕЙТАП""";ГОЛИКОВА СВЕТЛАНА;108811, РОССИЯ, Г.Москва, ПОСЕЛЕНИЕ МОСКОВСКИЙ вн. тер. г., Г. МОСКОВСКИЙ,  УЛ НИКИТИНА, Д. 14, К. 1 , КВ.   159    ;larustrade-customs@mail.ru;-
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";«АГРОС»;БАЛАШОВА НАТАЛЬЯ;123056, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ вн. тер. г.,  УЛ 2-Я БРЕСТСКАЯ, Д. 39, СТР. 2 , ПОМЕЩ.   2/4   КОМ./ОФИС   3/36;+7 9167524628;Milkom4628@gmail.com
-;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
14.03.2023;"Декларация; -";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9017853324;goychafamily@gmail.com
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
20.03.2023;"Декларация; -";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9017853324;goychafamily@gmail.com
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ЕМВАЛЕС""";ВЕХОВ СЕРГЕЙ;117321, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ТЕПЛЫЙ СТАН вн. тер. г.,  УЛ ПРОФСОЮЗНАЯ, Д. 128А, ПОМЕЩ.   233    ;+7 9282497666;emvales@mail.ru
01.03.2023;"Декларация; -";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОГОРСКИЕ ЛЕКАРСТВЕННЫЕ СРЕДСТВА""";МАЛИНКА ВЯЧЕСЛАВ;143444, РОССИЯ, ОБЛАСТЬ МОСКОВСКАЯ, Г. КРАСНОГОРСК, УЛ МИРА (ОПАЛИХА МКР.), Д.25;+7 4957059380;sales@krls.ru
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
20.03.2023;"Декларация; ТР ТС 004/2011 О безопасности низковольтного оборудования";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АГРОГРУПП""";Трухин Кирилл;-;+7 9262674161;info@agrogroup.ru.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОВОЩНОЙ ФРЭШ""";ЧЕРЕПАХИН ЮРИЙ;236038, РОССИЯ, Калининградская область, Г. КАЛИНИНГРАД, УЛ. ЛИПОВАЯ АЛЛЕЯ, Д. 2;+7 4012312124;asutugin@tds-group.ru
20.03.2023;"Декларация; ТР ТС 004/2011 О безопасности низковольтного оборудования";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
-;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
17.03.2023;"Декларация; -";"""ПВ""";БАТЫРЕВ ВАДИМ;301234, РОССИЯ, ОБЛАСТЬ ТУЛЬСКАЯ, ЩЕКИНСКИЙ Р-Н, Д КУЗЬМИНО-ДОМОЖИРОВО, УЛ. ШКОЛЬНАЯ, Д. 22, ОФИС 2;+7 9036977969;kuzmino71@mail.ru
15.03.2023;"Декларация; -";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР ДИСТРИБЬЮШН""";ГОРБУНОВА ЕЛЕНА;125362, РОССИЯ, ГОРОД МОСКВА, УЛ. СВОБОДЫ, Д. 29, ЭТ. 3 ПОМ.I КОМ. 41;+7 4959336000;gradient@gradient.ru
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
20.03.2023;"Декларация; -";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОВОЩНОЙ ФРЭШ""";ЧЕРЕПАХИН ЮРИЙ;236038, РОССИЯ, ОБЛАСТЬ КАЛИНИНГРАДСКАЯ, Г. КАЛИНИНГРАД, УЛ. ЛИПОВАЯ АЛЛЕЯ, Д. 2;+7 4012312124;asutugin@tds-group.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9017853324;goychafamily@gmail.com
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
19.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9035151550;goychafamily@gmail.com
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""БУТАРУСТРЕЙД""";ГУЛИЕВ РУСЛАН;125167, РОССИЯ, ГОРОД МОСКВА, УЛ. ПЛАНЕТНАЯ, Д. 29, ЭТ ПОДВАЛ ПОМ.I КОМН. 1 ОФ. 10;+7 4959895652;butarus@butagroup.com
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";«АГРОС»;БАЛАШОВА НАТАЛЬЯ;123056, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ вн. тер. г.,  УЛ 2-Я БРЕСТСКАЯ, Д. 39, СТР. 2 , ПОМЕЩ.   2/4   КОМ./ОФИС   3/36;+7 9167524628;Milkom4628@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ЕМВАЛЕС""";ВЕХОВ СЕРГЕЙ;117321, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ТЕПЛЫЙ СТАН вн. тер. г.,  УЛ ПРОФСОЮЗНАЯ, Д. 128А, ПОМЕЩ.   233    ;+7 9282497666;emvales@mail.ru
17.03.2023;"Декларация; -";"""ПВ""";БАТЫРЕВ ВАДИМ;301234, РОССИЯ, ОБЛАСТЬ ТУЛЬСКАЯ, ЩЕКИНСКИЙ Р-Н, Д КУЗЬМИНО-ДОМОЖИРОВО, УЛ. ШКОЛЬНАЯ, Д. 22, ОФИС 2;+7 9036977969;kuzmino71@mail.ru
