Дата окончания;Тип документа;Наименование организации;Имя руководителя;Адрес организации;Номер телефона;Почта
13.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕМИУМ КОФЕ СОЛЮШНЗ""";Ткачук Андрей;-;+7 4993411995;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""1311c59d-4933-41f9-a498-2e5aef20ece0"")>"
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕРСКАЯ ЧЕБУРКОВА""";ЧЕБУРКОВ АЛЕКСАНДР;606108, РОССИЯ, ОБЛАСТЬ НИЖЕГОРОДСКАЯ, ПАВЛОВСКИЙ РАЙОН, ГОРОД ПАВЛОВО, УЛИЦА ШУТОВА, ДОМ 27;-;-
17.03.2023;-;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛЕБЕЕВСКИЙ ЗАВОД ""АВТОКОМПЛЕКТ""";ВОДОЛАЗСКИЙ СЕРГЕЙ;-;+7 3478653942;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""57e80481-e25b-44c8-8662-a512eb783869"")>"
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУХТА ФЭШН ГРУП""""";ЛУХТАНЕН КЕНИ МИКАЕЛ;127473, РОССИЯ, ГОРОД МОСКВА, УЛИЦА КРАСНОПРОЛЕТАРСКАЯ, ДОМ 16, СТРОЕНИЕ 2, ЭТ 4 ПОМ I КОМ 1 (ЧАСТЬ);-;-
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПОС ТРЕЙД""";Хлыбов Алексей;-;+7 3512020406;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""45f10e6c-2f1a-4de1-8a2c-eb267b2c3ebe"")>"
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;-;-;-;-;-;-
-;-;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ АРМАТУРА""";Тимошенко Надежда;-;+7 4956496277;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""a2ca579d-7bfe-4af9-93dc-f00c4b435463"")>"
-;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮФТМАСТЕР""";БАЛДИН АНДРЕЙ;127560, РОССИЯ, ГОРОД МОСКВА, УЛИЦА КОНЁНКОВА, ДОМ 8, КВАРТИРА 21;-;-
13.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕМИУМ КОФЕ СОЛЮШНЗ""";Ткачук Андрей;-;+7 4993411995;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""e8ce6f6a-9b11-4ad2-85e9-e58a4c947ab4"")>"
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕРСКАЯ ЧЕБУРКОВА""";ЧЕБУРКОВ АЛЕКСАНДР;606108, РОССИЯ, ОБЛАСТЬ НИЖЕГОРОДСКАЯ, ПАВЛОВСКИЙ РАЙОН, ГОРОД ПАВЛОВО, УЛИЦА ШУТОВА, ДОМ 27;-;-
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛЕБЕЕВСКИЙ ЗАВОД ""АВТОКОМПЛЕКТ""";ВОДОЛАЗСКИЙ СЕРГЕЙ;-;+7 3478653942;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""914eb121-1a0a-4bb7-8894-9f843140570d"")>"
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУХТА ФЭШН ГРУП""""";ЛУХТАНЕН КЕНИ МИКАЕЛ;127473, РОССИЯ, ГОРОД МОСКВА, УЛИЦА КРАСНОПРОЛЕТАРСКАЯ, ДОМ 16, СТРОЕНИЕ 2, ЭТ 4 ПОМ I КОМ 1 (ЧАСТЬ);-;-
-;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПОС ТРЕЙД""";Хлыбов Алексей;-;+7 3512020406;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""9feefe14-95e7-476c-9c74-f16254c0bcdf"")>"
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ АРМАТУРА""";Тимошенко Надежда;-;+7 4956496277;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""df6fd242-a0cd-4d99-adae-0ef7fa3e064a"")>"
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9035151550;goychafamily@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КООПЕРАТИВ ЗАРЯ""";Сазонов Дмитрий;-;+7 9324792399;info@kzarya.ru
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ЕМВАЛЕС""";ВЕХОВ СЕРГЕЙ;117321, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ТЕПЛЫЙ СТАН вн. тер. г.,  УЛ ПРОФСОЮЗНАЯ, Д. 128А, ПОМЕЩ.   233    ;+7 9282497666;emvales@mail.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""СОКОЛ""";ГАСЫМОВ МАМЕДАЛИ;117041, РОССИЯ, ГОРОД МОСКВА, УЛ. АДМИРАЛА РУДНЕВА, Д. 4, ЭТ 6 ПОМ XX ОФ 13М;+7 9663117171;grinlogistics@yandex.ru
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
18.03.2023;"Декларация; ТР ТС 004/2011 О безопасности низковольтного оборудования";"""МЕДЯНА""";ФИОНИК ДМИТРИЙ;194021, РОССИЯ, Г.Санкт-Петербург, УЛ. ХЛОПИНА, Д. 7, К. 4 ЛИТЕР А , ПОМЕЩ. 30Н;+7 9112371759;medyana.trd@gmail.com
17.03.2023;"Декларация; -";"""ПВ""";БАТЫРЕВ ВАДИМ;301234, РОССИЯ, ОБЛАСТЬ ТУЛЬСКАЯ, ЩЕКИНСКИЙ Р-Н, Д КУЗЬМИНО-ДОМОЖИРОВО, УЛ. ШКОЛЬНАЯ, Д. 22, ОФИС 2;+7 9036977969;kuzmino71@mail.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ТРЕЙТАП""";ГОЛИКОВА СВЕТЛАНА;108811, РОССИЯ, Г.Москва, ПОСЕЛЕНИЕ МОСКОВСКИЙ вн. тер. г., Г. МОСКОВСКИЙ,  УЛ НИКИТИНА, Д. 14, К. 1 , КВ.   159    ;larustrade-customs@mail.ru;-
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";«АГРОС»;БАЛАШОВА НАТАЛЬЯ;123056, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ПРЕСНЕНСКИЙ вн. тер. г.,  УЛ 2-Я БРЕСТСКАЯ, Д. 39, СТР. 2 , ПОМЕЩ.   2/4   КОМ./ОФИС   3/36;+7 9167524628;Milkom4628@gmail.com
-;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
14.03.2023;"Декларация; -";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9017853324;goychafamily@gmail.com
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
20.03.2023;"Декларация; -";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9017853324;goychafamily@gmail.com
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ЕМВАЛЕС""";ВЕХОВ СЕРГЕЙ;117321, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ТЕПЛЫЙ СТАН вн. тер. г.,  УЛ ПРОФСОЮЗНАЯ, Д. 128А, ПОМЕЩ.   233    ;+7 9282497666;emvales@mail.ru
01.03.2023;"Декларация; -";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОГОРСКИЕ ЛЕКАРСТВЕННЫЕ СРЕДСТВА""";МАЛИНКА ВЯЧЕСЛАВ;143444, РОССИЯ, ОБЛАСТЬ МОСКОВСКАЯ, Г. КРАСНОГОРСК, УЛ МИРА (ОПАЛИХА МКР.), Д.25;+7 4957059380;sales@krls.ru
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
20.03.2023;"Декларация; ТР ТС 004/2011 О безопасности низковольтного оборудования";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АГРОГРУПП""";Трухин Кирилл;-;+7 9262674161;info@agrogroup.ru.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОВОЩНОЙ ФРЭШ""";ЧЕРЕПАХИН ЮРИЙ;236038, РОССИЯ, Калининградская область, Г. КАЛИНИНГРАД, УЛ. ЛИПОВАЯ АЛЛЕЯ, Д. 2;+7 4012312124;asutugin@tds-group.ru
20.03.2023;"Декларация; ТР ТС 004/2011 О безопасности низковольтного оборудования";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
-;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
17.03.2023;"Декларация; -";"""ПВ""";БАТЫРЕВ ВАДИМ;301234, РОССИЯ, ОБЛАСТЬ ТУЛЬСКАЯ, ЩЕКИНСКИЙ Р-Н, Д КУЗЬМИНО-ДОМОЖИРОВО, УЛ. ШКОЛЬНАЯ, Д. 22, ОФИС 2;+7 9036977969;kuzmino71@mail.ru
15.03.2023;"Декларация; -";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР ДИСТРИБЬЮШН""";ГОРБУНОВА ЕЛЕНА;125362, РОССИЯ, ГОРОД МОСКВА, УЛ. СВОБОДЫ, Д. 29, ЭТ. 3 ПОМ.I КОМ. 41;+7 4959336000;gradient@gradient.ru
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
20.03.2023;"Декларация; -";"""КАТРЕЙД""";КОРОБЧИЦ АНДРЕЙ;-;+7 4997031365;ai_vm@mail.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОВОЩНОЙ ФРЭШ""";ЧЕРЕПАХИН ЮРИЙ;236038, РОССИЯ, ОБЛАСТЬ КАЛИНИНГРАДСКАЯ, Г. КАЛИНИНГРАД, УЛ. ЛИПОВАЯ АЛЛЕЯ, Д. 2;+7 4012312124;asutugin@tds-group.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9017853324;goychafamily@gmail.com
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
19.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9035151550;goychafamily@gmail.com
